"year","indepyear","cowgroupid","isrelevant","isrelevant_firstyear","isincluded_firstyear","status_egip","onset_ko_flag","firstconf","britishcol_flag","frenchcol_flag"
1979,1965,42003000,1,1,1,1,0,0,1,0
1980,1965,42003000,1,1,1,1,0,0,1,0
1981,1965,42003000,1,1,1,1,0,0,1,0
1982,1965,42003000,1,1,1,1,0,0,1,0
1983,1965,42003000,1,1,1,1,0,0,1,0
1984,1965,42003000,1,1,1,1,0,0,1,0
1985,1965,42003000,1,1,1,1,0,0,1,0
1986,1965,42003000,1,1,1,1,0,0,1,0
1987,1965,42003000,1,1,1,1,0,0,1,0
1988,1965,42003000,1,1,1,1,0,0,1,0
1989,1965,42003000,1,1,1,1,0,0,1,0
1990,1965,42003000,1,1,1,1,0,0,1,0
1991,1965,42003000,1,1,1,1,0,0,1,0
1992,1965,42003000,1,1,1,1,0,0,1,0
1993,1965,42003000,1,1,1,1,0,0,1,0
1994,1965,42003000,0,1,1,0,0,0,1,0
1995,1965,42003000,0,1,1,0,0,0,1,0
1996,1965,42003000,0,1,1,0,0,0,1,0
1997,1965,42003000,0,1,1,0,0,0,1,0
1998,1965,42003000,0,1,1,0,0,0,1,0
1999,1965,42003000,0,1,1,0,0,0,1,0
2000,1965,42003000,0,1,1,0,0,0,1,0
2001,1965,42003000,0,1,1,0,0,0,1,0
2002,1965,42003000,0,1,1,0,0,0,1,0
2003,1965,42003000,0,1,1,0,0,0,1,0
2004,1965,42003000,0,1,1,0,0,0,1,0
2005,1965,42003000,0,1,1,0,0,0,1,0
2006,1965,42003000,0,1,1,0,0,0,1,0
2007,1965,42003000,0,1,1,0,0,0,1,0
2008,1965,42003000,0,1,1,0,0,0,1,0
2009,1965,42003000,0,1,1,0,0,0,1,0
1965,1965,42004000,1,1,0,0,0,0,1,0
1966,1965,42004000,1,1,0,0,0,0,1,0
1967,1965,42004000,1,1,0,0,0,0,1,0
1968,1965,42004000,1,1,0,0,0,0,1,0
1969,1965,42004000,1,1,0,0,0,0,1,0
1970,1965,42004000,1,1,0,0,0,0,1,0
1971,1965,42004000,1,1,0,0,0,0,1,0
1972,1965,42004000,1,1,0,0,0,0,1,0
1973,1965,42004000,1,1,0,0,0,0,1,0
1974,1965,42004000,1,1,0,0,0,0,1,0
1975,1965,42004000,1,1,0,0,0,0,1,0
1976,1965,42004000,1,1,0,0,0,0,1,0
1977,1965,42004000,1,1,0,0,0,0,1,0
1978,1965,42004000,1,1,0,0,0,0,1,0
1979,1965,42004000,1,1,0,0,0,0,1,0
1980,1965,42004000,1,1,0,0,0,0,1,0
1981,1965,42004000,1,1,0,0,0,0,1,0
1982,1965,42004000,1,1,0,0,0,0,1,0
1983,1965,42004000,1,1,0,0,0,0,1,0
1984,1965,42004000,1,1,0,0,0,0,1,0
1985,1965,42004000,1,1,0,0,0,0,1,0
1986,1965,42004000,1,1,0,0,0,0,1,0
1987,1965,42004000,1,1,0,0,0,0,1,0
1988,1965,42004000,1,1,0,0,0,0,1,0
1989,1965,42004000,1,1,0,0,0,0,1,0
1990,1965,42004000,1,1,0,0,0,0,1,0
1991,1965,42004000,1,1,0,0,0,0,1,0
1992,1965,42004000,1,1,0,0,0,0,1,0
1993,1965,42004000,1,1,0,0,0,0,1,0
1994,1965,42004000,0,1,0,0,0,0,1,0
1995,1965,42004000,0,1,0,0,0,0,1,0
1996,1965,42004000,0,1,0,0,0,0,1,0
1997,1965,42004000,0,1,0,0,0,0,1,0
1998,1965,42004000,0,1,0,0,0,0,1,0
1999,1965,42004000,0,1,0,0,0,0,1,0
2000,1965,42004000,0,1,0,0,0,0,1,0
2001,1965,42004000,0,1,0,0,0,0,1,0
2002,1965,42004000,0,1,0,0,0,0,1,0
2003,1965,42004000,0,1,0,0,0,0,1,0
2004,1965,42004000,0,1,0,0,0,0,1,0
2005,1965,42004000,0,1,0,0,0,0,1,0
2006,1965,42004000,0,1,0,0,0,0,1,0
2007,1965,42004000,0,1,0,0,0,0,1,0
2008,1965,42004000,0,1,0,0,0,0,1,0
2009,1965,42004000,0,1,0,0,0,0,1,0
1965,1965,42006000,1,1,1,1,0,0,1,0
1966,1965,42006000,1,1,1,1,0,0,1,0
1967,1965,42006000,1,1,1,1,0,0,1,0
1968,1965,42006000,1,1,1,1,0,0,1,0
1969,1965,42006000,1,1,1,1,0,0,1,0
1970,1965,42006000,1,1,1,1,0,0,1,0
1971,1965,42006000,1,1,1,1,0,0,1,0
1972,1965,42006000,1,1,1,1,0,0,1,0
1973,1965,42006000,1,1,1,1,0,0,1,0
1974,1965,42006000,1,1,1,1,0,0,1,0
1975,1965,42006000,1,1,1,1,0,0,1,0
1976,1965,42006000,1,1,1,1,0,0,1,0
1977,1965,42006000,1,1,1,1,0,0,1,0
1978,1965,42006000,1,1,1,1,0,0,1,0
1979,1965,42006000,1,1,1,1,0,0,1,0
1980,1965,42006000,1,1,1,1,0,0,1,0
1981,1965,42006000,1,1,1,1,0,0,1,0
1982,1965,42006000,1,1,1,1,0,0,1,0
1983,1965,42006000,1,1,1,1,0,0,1,0
1984,1965,42006000,1,1,1,1,0,0,1,0
1985,1965,42006000,1,1,1,1,0,0,1,0
1986,1965,42006000,1,1,1,1,0,0,1,0
1987,1965,42006000,1,1,1,1,0,0,1,0
1988,1965,42006000,1,1,1,1,0,0,1,0
